LỊCH ĐĂNG BÀI GROUP ZALO: LIÊN MINH ĐIỂM BÁN - BẾP YÊU THƯƠNG
Ngày,Tuần,STT bài/ngày,Khung giờ,Pillar,Chủ đề cụ thể,Mục tiêu,Template ID,Form mẫu tin nhắn,Prompt generate ảnh poster,Nguồn nội dung,Ghi chú,Trạng thái,Owner,Nội dung đăng bài,Biến cần điền trước đăng,CTA chính,Gợi ý ảnh/tư liệu
Ngày 4,Tuần 1,2.0,14:00,Case/checklist điểm bán,Checklist/case mở điểm: detox/Detox Extra,Giáo dục chủ điểm,CHECKLIST,"[CHECKLIST] Checklist/case mở điểm: detox/Detox Extra
1. [Bước/lưu ý 1]
2. [Bước/lưu ý 2]
3. [Bước/lưu ý 3]
CTA: ai cần bản hướng dẫn đầy đủ comment ""CHECKLIST"".","Tạo infographic Zalo 1:1 chủ đề ""Checklist/case mở điểm: detox/Detox Extra"", phong cách tối giản, màu xanh lá/be, 3-5 bullet ngắn, icon dinh dưỡng/đào tạo, có logo placeholder BYT, dễ đọc trên điện thoại.",Ảnh điểm thật,,Chưa đăng,,"[CHECKLIST MỞ ĐIỂM] detox/Detox Extra: Trước khi triển khai tại điểm bán, kiểm tra 4 việc: khách tại điểm có nhu cầu mua nhanh không; QR hoặc vị trí giới thiệu có dễ thấy không; nhân sự có biết nói một câu giới thiệu ngắn không; lịch chốt đơn và giao hàng có rõ không. Với detox/Detox Extra, nên chạy thử số lượng nhỏ trong 3-7 ngày, ghi lại phản hồi rồi mới tăng. Ai cần bản checklist và kịch bản tư vấn tại quầy comment CHECKLIST.",Ảnh điểm thật; điều kiện bảo quản/giao; mẫu checklist đầy đủ,CHECKLIST,Infographic 4 bước hoặc ảnh điểm thật kèm checklist
Ngày 4,Tuần 1,3.0,19:30,Deal bán chéo/vinh danh,Partner hôm nay/vinh danh điểm: detox/Detox Extra,Kích hoạt điểm,PARTNER_DEAL,"[PARTNER HÔM NAY] Partner hôm nay/vinh danh điểm: detox/Detox Extra
• Điểm/đối tác: [tên điểm]
• Ưu đãi cho thành viên nhóm: [quyền lợi]
• Địa chỉ: [địa chỉ]
• Cách nhận ưu đãi: [quét QR/nhắn mã]
• Thời gian áp dụng: [ngày/giờ]
Ai cần thông tin comment ""PARTNER"".","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng & điểm bán"", chủ đề ""Partner hôm nay/vinh danh điểm: detox/Detox Extra"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Deal partner/báo cáo QR,,Chưa đăng,,"[PARTNER HÔM NAY] detox/Detox Extra: Hôm nay nhóm ưu tiên kết nối một điểm liên kết phù hợp để chạy thử detox/Detox Extra. Thành viên nhóm nhận [quyền lợi/ưu đãi] tại [tên điểm] - [địa chỉ] khi quét QR hoặc nhắn mã PARTNER. Chủ điểm được hỗ trợ poster, bài đăng và cách ghi nhận đơn/lượt quét. Ai muốn nhận ưu đãi hoặc đăng ký điểm tương tự comment PARTNER.",Tên điểm; quyền lợi; địa chỉ; mã QR; thời hạn ưu đãi,PARTNER,Ảnh điểm/đối tác + sản phẩm + QR/mã ưu đãi
Ngày 5,Tuần 1,1.0,08:00,Lợi ích chủ điểm,Lợi ích thêm dòng sản phẩm: hũ mạch/yến mạch,Tuyển điểm mới,RECRUIT_POINT,"[TUYỂN ĐIỂM LIÊN KẾT] Lợi ích thêm dòng sản phẩm: hũ mạch/yến mạch
BYT tìm [spa/cafe/phòng tập/shop mẹ bé] tại [khu vực].
Quyền lợi: thêm sản phẩm healthy + QR cộng đồng + hoa hồng khi có đơn.
Chủ điểm quan tâm comment ""ĐIỂM"" hoặc inbox.","Tạo poster Zalo 1:1 cho ""Lợi ích thêm dòng sản phẩm: hũ mạch/yến mạch"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Danh sách điểm,,Chưa đăng,,"[TUYỂN ĐIỂM LIÊN KẾT] hũ mạch/yến mạch: BYT đang tìm thêm spa, cafe, phòng tập, salon, shop mẹ & bé và điểm dịch vụ quanh Hoàng Quốc Việt - Cầu Giấy để triển khai hũ mạch/yến mạch. Chủ điểm có thêm lý do chăm sóc khách cũ, thêm sản phẩm/nội dung để bán kèm và nhận hoa hồng khi phát sinh đơn qua QR cộng đồng. BYT hỗ trợ bài đăng, poster, kịch bản giới thiệu tại quầy và cách theo dõi đơn. Anh/chị muốn mở điểm thử trong 7 ngày comment ĐIỂM hoặc inbox admin.",Loại điểm ưu tiên; khu vực; chính sách hoa hồng; link/QR đăng ký,ĐIỂM,Poster 1:1: chủ điểm + sản phẩm/QR + 3 quyền lợi
Ngày 5,Tuần 1,2.0,14:00,Case/checklist điểm bán,Checklist/case mở điểm: hũ mạch/yến mạch,Giáo dục chủ điểm,CHECKLIST,"[CHECKLIST] Checklist/case mở điểm: hũ mạch/yến mạch
1. [Bước/lưu ý 1]
2. [Bước/lưu ý 2]
3. [Bước/lưu ý 3]
CTA: ai cần bản hướng dẫn đầy đủ comment ""CHECKLIST"".","Tạo infographic Zalo 1:1 chủ đề ""Checklist/case mở điểm: hũ mạch/yến mạch"", phong cách tối giản, màu xanh lá/be, 3-5 bullet ngắn, icon dinh dưỡng/đào tạo, có logo placeholder BYT, dễ đọc trên điện thoại.",Ảnh điểm thật,,Chưa đăng,,"[CHECKLIST MỞ ĐIỂM] hũ mạch/yến mạch: Trước khi triển khai tại điểm bán, kiểm tra 4 việc: khách tại điểm có nhu cầu mua nhanh không; QR hoặc vị trí giới thiệu có dễ thấy không; nhân sự có biết nói một câu giới thiệu ngắn không; lịch chốt đơn và giao hàng có rõ không. Với hũ mạch/yến mạch, nên chạy thử số lượng nhỏ trong 3-7 ngày, ghi lại phản hồi rồi mới tăng. Ai cần bản checklist và kịch bản tư vấn tại quầy comment CHECKLIST.",Ảnh điểm thật; điều kiện bảo quản/giao; mẫu checklist đầy đủ,CHECKLIST,Infographic 4 bước hoặc ảnh điểm thật kèm checklist
Ngày 5,Tuần 1,3.0,19:30,Deal bán chéo/vinh danh,Partner hôm nay/vinh danh điểm: hũ mạch/yến mạch,Kích hoạt điểm,PARTNER_DEAL,"[PARTNER HÔM NAY] Partner hôm nay/vinh danh điểm: hũ mạch/yến mạch
• Điểm/đối tác: [tên điểm]
• Ưu đãi cho thành viên nhóm: [quyền lợi]
• Địa chỉ: [địa chỉ]
• Cách nhận ưu đãi: [quét QR/nhắn mã]
• Thời gian áp dụng: [ngày/giờ]
Ai cần thông tin comment ""PARTNER"".","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng & điểm bán"", chủ đề ""Partner hôm nay/vinh danh điểm: hũ mạch/yến mạch"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Deal partner/báo cáo QR,,Chưa đăng,,"[PARTNER HÔM NAY] hũ mạch/yến mạch: Hôm nay nhóm ưu tiên kết nối một điểm liên kết phù hợp để chạy thử hũ mạch/yến mạch. Thành viên nhóm nhận [quyền lợi/ưu đãi] tại [tên điểm] - [địa chỉ] khi quét QR hoặc nhắn mã PARTNER. Chủ điểm được hỗ trợ poster, bài đăng và cách ghi nhận đơn/lượt quét. Ai muốn nhận ưu đãi hoặc đăng ký điểm tương tự comment PARTNER.",Tên điểm; quyền lợi; địa chỉ; mã QR; thời hạn ưu đãi,PARTNER,Ảnh điểm/đối tác + sản phẩm + QR/mã ưu đãi
Ngày 6,Tuần 1,1.0,08:00,Lợi ích chủ điểm,Lợi ích thêm dòng sản phẩm: salad + cơm lứt,Tuyển điểm mới,RECRUIT_POINT,"[TUYỂN ĐIỂM LIÊN KẾT] Lợi ích thêm dòng sản phẩm: salad + cơm lứt
BYT tìm [spa/cafe/phòng tập/shop mẹ bé] tại [khu vực].
Quyền lợi: thêm sản phẩm healthy + QR cộng đồng + hoa hồng khi có đơn.
Chủ điểm quan tâm comment ""ĐIỂM"" hoặc inbox.","Tạo poster Zalo 1:1 cho ""Lợi ích thêm dòng sản phẩm: salad + cơm lứt"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Danh sách điểm,,Chưa đăng,,"[TUYỂN ĐIỂM LIÊN KẾT] salad + cơm lứt: BYT đang tìm thêm spa, cafe, phòng tập, salon, shop mẹ & bé và điểm dịch vụ quanh Hoàng Quốc Việt - Cầu Giấy để triển khai salad + cơm lứt. Chủ điểm có thêm lý do chăm sóc khách cũ, thêm sản phẩm/nội dung để bán kèm và nhận hoa hồng khi phát sinh đơn qua QR cộng đồng. BYT hỗ trợ bài đăng, poster, kịch bản giới thiệu tại quầy và cách theo dõi đơn. Anh/chị muốn mở điểm thử trong 7 ngày comment ĐIỂM hoặc inbox admin.",Loại điểm ưu tiên; khu vực; chính sách hoa hồng; link/QR đăng ký,ĐIỂM,Poster 1:1: chủ điểm + sản phẩm/QR + 3 quyền lợi
Ngày 6,Tuần 1,2.0,14:00,Case/checklist điểm bán,Checklist/case mở điểm: salad + cơm lứt,Giáo dục chủ điểm,CHECKLIST,"[CHECKLIST] Checklist/case mở điểm: salad + cơm lứt
1. [Bước/lưu ý 1]
2. [Bước/lưu ý 2]
3. [Bước/lưu ý 3]
CTA: ai cần bản hướng dẫn đầy đủ comment ""CHECKLIST"".","Tạo infographic Zalo 1:1 chủ đề ""Checklist/case mở điểm: salad + cơm lứt"", phong cách tối giản, màu xanh lá/be, 3-5 bullet ngắn, icon dinh dưỡng/đào tạo, có logo placeholder BYT, dễ đọc trên điện thoại.",Ảnh điểm thật,,Chưa đăng,,"[CHECKLIST MỞ ĐIỂM] salad + cơm lứt: Trước khi triển khai tại điểm bán, kiểm tra 4 việc: khách tại điểm có nhu cầu mua nhanh không; QR hoặc vị trí giới thiệu có dễ thấy không; nhân sự có biết nói một câu giới thiệu ngắn không; lịch chốt đơn và giao hàng có rõ không. Với salad + cơm lứt, nên chạy thử số lượng nhỏ trong 3-7 ngày, ghi lại phản hồi rồi mới tăng. Ai cần bản checklist và kịch bản tư vấn tại quầy comment CHECKLIST.",Ảnh điểm thật; điều kiện bảo quản/giao; mẫu checklist đầy đủ,CHECKLIST,Infographic 4 bước hoặc ảnh điểm thật kèm checklist
Ngày 6,Tuần 1,3.0,19:30,Deal bán chéo/vinh danh,Partner hôm nay/vinh danh điểm: salad + cơm lứt,Kích hoạt điểm,PARTNER_DEAL,"[PARTNER HÔM NAY] Partner hôm nay/vinh danh điểm: salad + cơm lứt
• Điểm/đối tác: [tên điểm]
• Ưu đãi cho thành viên nhóm: [quyền lợi]
• Địa chỉ: [địa chỉ]
• Cách nhận ưu đãi: [quét QR/nhắn mã]
• Thời gian áp dụng: [ngày/giờ]
Ai cần thông tin comment ""PARTNER"".","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng & điểm bán"", chủ đề ""Partner hôm nay/vinh danh điểm: salad + cơm lứt"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Deal partner/báo cáo QR,,Chưa đăng,,"[PARTNER HÔM NAY] salad + cơm lứt: Hôm nay nhóm ưu tiên kết nối một điểm liên kết phù hợp để chạy thử salad + cơm lứt. Thành viên nhóm nhận [quyền lợi/ưu đãi] tại [tên điểm] - [địa chỉ] khi quét QR hoặc nhắn mã PARTNER. Chủ điểm được hỗ trợ poster, bài đăng và cách ghi nhận đơn/lượt quét. Ai muốn nhận ưu đãi hoặc đăng ký điểm tương tự comment PARTNER.",Tên điểm; quyền lợi; địa chỉ; mã QR; thời hạn ưu đãi,PARTNER,Ảnh điểm/đối tác + sản phẩm + QR/mã ưu đãi
Ngày 7,Tuần 1,1.0,08:00,Lợi ích chủ điểm,Lợi ích thêm dòng sản phẩm: set Mặt Trời Bé Con,Tuyển điểm mới,RECRUIT_POINT,"[TUYỂN ĐIỂM LIÊN KẾT] Lợi ích thêm dòng sản phẩm: set Mặt Trời Bé Con
BYT tìm [spa/cafe/phòng tập/shop mẹ bé] tại [khu vực].
Quyền lợi: thêm sản phẩm healthy + QR cộng đồng + hoa hồng khi có đơn.
Chủ điểm quan tâm comment ""ĐIỂM"" hoặc inbox.","Tạo poster Zalo 1:1 cho ""Lợi ích thêm dòng sản phẩm: set Mặt Trời Bé Con"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Danh sách điểm,,Chưa đăng,,"[TUYỂN ĐIỂM LIÊN KẾT] set Mặt Trời Bé Con: BYT đang tìm thêm spa, cafe, phòng tập, salon, shop mẹ & bé và điểm dịch vụ quanh Hoàng Quốc Việt - Cầu Giấy để triển khai set Mặt Trời Bé Con. Chủ điểm có thêm lý do chăm sóc khách cũ, thêm sản phẩm/nội dung để bán kèm và nhận hoa hồng khi phát sinh đơn qua QR cộng đồng. BYT hỗ trợ bài đăng, poster, kịch bản giới thiệu tại quầy và cách theo dõi đơn. Anh/chị muốn mở điểm thử trong 7 ngày comment ĐIỂM hoặc inbox admin.",Loại điểm ưu tiên; khu vực; chính sách hoa hồng; link/QR đăng ký,ĐIỂM,Poster 1:1: chủ điểm + sản phẩm/QR + 3 quyền lợi
Ngày 7,Tuần 1,2.0,14:00,Case/checklist điểm bán,Checklist/case mở điểm: set Mặt Trời Bé Con,Giáo dục chủ điểm,CHECKLIST,"[CHECKLIST] Checklist/case mở điểm: set Mặt Trời Bé Con
1. [Bước/lưu ý 1]
2. [Bước/lưu ý 2]
3. [Bước/lưu ý 3]
CTA: ai cần bản hướng dẫn đầy đủ comment ""CHECKLIST"".","Tạo infographic Zalo 1:1 chủ đề ""Checklist/case mở điểm: set Mặt Trời Bé Con"", phong cách tối giản, màu xanh lá/be, 3-5 bullet ngắn, icon dinh dưỡng/đào tạo, có logo placeholder BYT, dễ đọc trên điện thoại.",Ảnh điểm thật,,Chưa đăng,,"[CHECKLIST MỞ ĐIỂM] set Mặt Trời Bé Con: Trước khi triển khai tại điểm bán, kiểm tra 4 việc: khách tại điểm có nhu cầu mua nhanh không; QR hoặc vị trí giới thiệu có dễ thấy không; nhân sự có biết nói một câu giới thiệu ngắn không; lịch chốt đơn và giao hàng có rõ không. Với set Mặt Trời Bé Con, nên chạy thử số lượng nhỏ trong 3-7 ngày, ghi lại phản hồi rồi mới tăng. Ai cần bản checklist và kịch bản tư vấn tại quầy comment CHECKLIST.",Ảnh điểm thật; điều kiện bảo quản/giao; mẫu checklist đầy đủ,CHECKLIST,Infographic 4 bước hoặc ảnh điểm thật kèm checklist
Ngày 7,Tuần 1,3.0,19:30,Deal bán chéo/vinh danh,Partner hôm nay/vinh danh điểm: set Mặt Trời Bé Con,Kích hoạt điểm,PARTNER_DEAL,"[PARTNER HÔM NAY] Partner hôm nay/vinh danh điểm: set Mặt Trời Bé Con
• Điểm/đối tác: [tên điểm]
• Ưu đãi cho thành viên nhóm: [quyền lợi]
• Địa chỉ: [địa chỉ]
• Cách nhận ưu đãi: [quét QR/nhắn mã]
• Thời gian áp dụng: [ngày/giờ]
Ai cần thông tin comment ""PARTNER"".","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng & điểm bán"", chủ đề ""Partner hôm nay/vinh danh điểm: set Mặt Trời Bé Con"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Deal partner/báo cáo QR,,Chưa đăng,,"[PARTNER HÔM NAY] set Mặt Trời Bé Con: Hôm nay nhóm ưu tiên kết nối một điểm liên kết phù hợp để chạy thử set Mặt Trời Bé Con. Thành viên nhóm nhận [quyền lợi/ưu đãi] tại [tên điểm] - [địa chỉ] khi quét QR hoặc nhắn mã PARTNER. Chủ điểm được hỗ trợ poster, bài đăng và cách ghi nhận đơn/lượt quét. Ai muốn nhận ưu đãi hoặc đăng ký điểm tương tự comment PARTNER.",Tên điểm; quyền lợi; địa chỉ; mã QR; thời hạn ưu đãi,PARTNER,Ảnh điểm/đối tác + sản phẩm + QR/mã ưu đãi
Ngày 8,Tuần 2,1.0,08:00,Lợi ích chủ điểm,Lợi ích thêm dòng sản phẩm: nước ép/smoothie,Tuyển điểm mới,RECRUIT_POINT,"[TUYỂN ĐIỂM LIÊN KẾT] Lợi ích thêm dòng sản phẩm: nước ép/smoothie
BYT tìm [spa/cafe/phòng tập/shop mẹ bé] tại [khu vực].
Quyền lợi: thêm sản phẩm healthy + QR cộng đồng + hoa hồng khi có đơn.
Chủ điểm quan tâm comment ""ĐIỂM"" hoặc inbox.","Tạo poster Zalo 1:1 cho ""Lợi ích thêm dòng sản phẩm: nước ép/smoothie"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Danh sách điểm,,Chưa đăng,,"[TUYỂN ĐIỂM LIÊN KẾT] nước ép/smoothie: BYT đang tìm thêm spa, cafe, phòng tập, salon, shop mẹ & bé và điểm dịch vụ quanh Hoàng Quốc Việt - Cầu Giấy để triển khai nước ép/smoothie. Chủ điểm có thêm lý do chăm sóc khách cũ, thêm sản phẩm/nội dung để bán kèm và nhận hoa hồng khi phát sinh đơn qua QR cộng đồng. BYT hỗ trợ bài đăng, poster, kịch bản giới thiệu tại quầy và cách theo dõi đơn. Anh/chị muốn mở điểm thử trong 7 ngày comment ĐIỂM hoặc inbox admin.",Loại điểm ưu tiên; khu vực; chính sách hoa hồng; link/QR đăng ký,ĐIỂM,Poster 1:1: chủ điểm + sản phẩm/QR + 3 quyền lợi
Ngày 8,Tuần 2,2.0,14:00,Case/checklist điểm bán,Checklist/case mở điểm: nước ép/smoothie,Giáo dục chủ điểm,CHECKLIST,"[CHECKLIST] Checklist/case mở điểm: nước ép/smoothie
1. [Bước/lưu ý 1]
2. [Bước/lưu ý 2]
3. [Bước/lưu ý 3]
CTA: ai cần bản hướng dẫn đầy đủ comment ""CHECKLIST"".","Tạo infographic Zalo 1:1 chủ đề ""Checklist/case mở điểm: nước ép/smoothie"", phong cách tối giản, màu xanh lá/be, 3-5 bullet ngắn, icon dinh dưỡng/đào tạo, có logo placeholder BYT, dễ đọc trên điện thoại.",Ảnh điểm thật,,Chưa đăng,,"[CHECKLIST MỞ ĐIỂM] nước ép/smoothie: Trước khi triển khai tại điểm bán, kiểm tra 4 việc: khách tại điểm có nhu cầu mua nhanh không; QR hoặc vị trí giới thiệu có dễ thấy không; nhân sự có biết nói một câu giới thiệu ngắn không; lịch chốt đơn và giao hàng có rõ không. Với nước ép/smoothie, nên chạy thử số lượng nhỏ trong 3-7 ngày, ghi lại phản hồi rồi mới tăng. Ai cần bản checklist và kịch bản tư vấn tại quầy comment CHECKLIST.",Ảnh điểm thật; điều kiện bảo quản/giao; mẫu checklist đầy đủ,CHECKLIST,Infographic 4 bước hoặc ảnh điểm thật kèm checklist
Ngày 8,Tuần 2,3.0,19:30,Deal bán chéo/vinh danh,Partner hôm nay/vinh danh điểm: nước ép/smoothie,Kích hoạt điểm,PARTNER_DEAL,"[PARTNER HÔM NAY] Partner hôm nay/vinh danh điểm: nước ép/smoothie
• Điểm/đối tác: [tên điểm]
• Ưu đãi cho thành viên nhóm: [quyền lợi]
• Địa chỉ: [địa chỉ]
• Cách nhận ưu đãi: [quét QR/nhắn mã]
• Thời gian áp dụng: [ngày/giờ]
Ai cần thông tin comment ""PARTNER"".","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng & điểm bán"", chủ đề ""Partner hôm nay/vinh danh điểm: nước ép/smoothie"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Deal partner/báo cáo QR,,Chưa đăng,,"[PARTNER HÔM NAY] nước ép/smoothie: Hôm nay nhóm ưu tiên kết nối một điểm liên kết phù hợp để chạy thử nước ép/smoothie. Thành viên nhóm nhận [quyền lợi/ưu đãi] tại [tên điểm] - [địa chỉ] khi quét QR hoặc nhắn mã PARTNER. Chủ điểm được hỗ trợ poster, bài đăng và cách ghi nhận đơn/lượt quét. Ai muốn nhận ưu đãi hoặc đăng ký điểm tương tự comment PARTNER.",Tên điểm; quyền lợi; địa chỉ; mã QR; thời hạn ưu đãi,PARTNER,Ảnh điểm/đối tác + sản phẩm + QR/mã ưu đãi
Ngày 9,Tuần 2,1.0,08:00,Lợi ích chủ điểm,Lợi ích thêm dòng sản phẩm: trứng nướng thảo mộc,Tuyển điểm mới,RECRUIT_POINT,"[TUYỂN ĐIỂM LIÊN KẾT] Lợi ích thêm dòng sản phẩm: trứng nướng thảo mộc
BYT tìm [spa/cafe/phòng tập/shop mẹ bé] tại [khu vực].
Quyền lợi: thêm sản phẩm healthy + QR cộng đồng + hoa hồng khi có đơn.
Chủ điểm quan tâm comment ""ĐIỂM"" hoặc inbox.","Tạo poster Zalo 1:1 cho ""Lợi ích thêm dòng sản phẩm: trứng nướng thảo mộc"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Danh sách điểm,,Chưa đăng,,"[TUYỂN ĐIỂM LIÊN KẾT] trứng nướng thảo mộc: BYT đang tìm thêm spa, cafe, phòng tập, salon, shop mẹ & bé và điểm dịch vụ quanh Hoàng Quốc Việt - Cầu Giấy để triển khai trứng nướng thảo mộc. Chủ điểm có thêm lý do chăm sóc khách cũ, thêm sản phẩm/nội dung để bán kèm và nhận hoa hồng khi phát sinh đơn qua QR cộng đồng. BYT hỗ trợ bài đăng, poster, kịch bản giới thiệu tại quầy và cách theo dõi đơn. Anh/chị muốn mở điểm thử trong 7 ngày comment ĐIỂM hoặc inbox admin.",Loại điểm ưu tiên; khu vực; chính sách hoa hồng; link/QR đăng ký,ĐIỂM,Poster 1:1: chủ điểm + sản phẩm/QR + 3 quyền lợi
Ngày 9,Tuần 2,2.0,14:00,Case/checklist điểm bán,Checklist/case mở điểm: trứng nướng thảo mộc,Giáo dục chủ điểm,CHECKLIST,"[CHECKLIST] Checklist/case mở điểm: trứng nướng thảo mộc
1. [Bước/lưu ý 1]
2. [Bước/lưu ý 2]
3. [Bước/lưu ý 3]
CTA: ai cần bản hướng dẫn đầy đủ comment ""CHECKLIST"".","Tạo infographic Zalo 1:1 chủ đề ""Checklist/case mở điểm: trứng nướng thảo mộc"", phong cách tối giản, màu xanh lá/be, 3-5 bullet ngắn, icon dinh dưỡng/đào tạo, có logo placeholder BYT, dễ đọc trên điện thoại.",Ảnh điểm thật,,Chưa đăng,,"[CHECKLIST MỞ ĐIỂM] trứng nướng thảo mộc: Trước khi triển khai tại điểm bán, kiểm tra 4 việc: khách tại điểm có nhu cầu mua nhanh không; QR hoặc vị trí giới thiệu có dễ thấy không; nhân sự có biết nói một câu giới thiệu ngắn không; lịch chốt đơn và giao hàng có rõ không. Với trứng nướng thảo mộc, nên chạy thử số lượng nhỏ trong 3-7 ngày, ghi lại phản hồi rồi mới tăng. Ai cần bản checklist và kịch bản tư vấn tại quầy comment CHECKLIST.",Ảnh điểm thật; điều kiện bảo quản/giao; mẫu checklist đầy đủ,CHECKLIST,Infographic 4 bước hoặc ảnh điểm thật kèm checklist
Ngày 9,Tuần 2,3.0,19:30,Deal bán chéo/vinh danh,Partner hôm nay/vinh danh điểm: trứng nướng thảo mộc,Kích hoạt điểm,PARTNER_DEAL,"[PARTNER HÔM NAY] Partner hôm nay/vinh danh điểm: trứng nướng thảo mộc
• Điểm/đối tác: [tên điểm]
• Ưu đãi cho thành viên nhóm: [quyền lợi]
• Địa chỉ: [địa chỉ]
• Cách nhận ưu đãi: [quét QR/nhắn mã]
• Thời gian áp dụng: [ngày/giờ]
Ai cần thông tin comment ""PARTNER"".","Tạo poster Zalo 1:1 cho nhóm ""Liên minh tiêu dùng & điểm bán"", chủ đề ""Partner hôm nay/vinh danh điểm: trứng nướng thảo mộc"". Phong cách healthy, sạch, màu xanh lá/be, có ảnh sản phẩm thật hoặc mockup đồ ăn/uống, text lớn: ""[ƯU ĐÃI/DEAL]"", text phụ: ""[giá] - [giờ chốt]"", thêm icon đồng hồ, giao hàng, QR placeholder, bố cục rõ, không quá 25 từ trên poster.",Deal partner/báo cáo QR,,Chưa đăng,,"[PARTNER HÔM NAY] trứng nướng thảo mộc: Hôm nay nhóm ưu tiên kết nối một điểm liên kết phù hợp để chạy thử trứng nướng thảo mộc. Thành viên nhóm nhận [quyền lợi/ưu đãi] tại [tên điểm] - [địa chỉ] khi quét QR hoặc nhắn mã PARTNER. Chủ điểm được hỗ trợ poster, bài đăng và cách ghi nhận đơn/lượt quét. Ai muốn nhận ưu đãi hoặc đăng ký điểm tương tự comment PARTNER.",Tên điểm; quyền lợi; địa chỉ; mã QR; thời hạn ưu đãi,PARTNER,Ảnh điểm/đối tác + sản phẩm + QR/mã ưu đãi
Ngày 10,Tuần 2,1.0,08:00,Lợi ích chủ điểm,Lợi ích thêm dòng sản phẩm: hạt mix/bột hạt,Tuyển điểm mới,RECRUIT_POINT,"[TUYỂN ĐIỂM LIÊN KẾT] Lợi ích thêm dòng sản phẩm: hạt mix/bột hạt
BYT tìm [spa/cafe/phòng tập/shop mẹ bé] tại [khu vực].
Quyền lợi: thêm sản phẩm healthy + QR cộng đồng + hoa hồng khi có đơn.
Chủ điểm quan tâm comment ""ĐIỂM"" hoặc inbox.","Tạo poster Zalo 1:1 cho ""Lợi ích thêm dòng sản phẩm: hạt mix/bột hạt"", phong cách healthy, sạch, màu xanh lá/be, bố cục rõ, ảnh sản phẩm/hoạt động cộng đồng, text ngắn dễ đọc trên điện thoại.",Danh sách điểm,,Chưa đăng,,"[TUYỂN ĐIỂM LIÊN KẾT] hạt mix/bột hạt: BYT đang tìm thêm spa, cafe, phòng tập, salon, shop mẹ & bé và điểm dịch vụ quanh Hoàng Quốc Việt - Cầu Giấy để triển khai hạt mix/bột hạt. Chủ điểm có thêm lý do chăm sóc khách cũ, thêm sản phẩm/nội dung để bán kèm và nhận hoa hồng khi phát sinh đơn qua QR cộng đồng. BYT hỗ trợ bài đăng, poster, kịch bản giới thiệu tại quầy và cách theo dõi đơn. Anh/chị muốn mở điểm thử trong 7 ngày comment ĐIỂM hoặc inbox admin.",Loại điểm ưu tiên; khu vực; chính sách hoa hồng; link/QR đăng ký,ĐIỂM,Poster 1:1: chủ điểm + sản phẩm/QR + 3 quyền lợi
